,frame,l_upper_arm_sag,l_upper_arm_frontal,r_upper_arm_sag,r_upper_arm_frontal,l_lower_arm,r_lower_arm,l_wrist,r_wrist,l_knee,r_knee,neck,trunk_angle,upper_arm_score,lower_arm_score,wrist_score,neck_score,trunk_score,leg_score,a_score,b_score,c_score
0,0,163.38024706038053,163.74163989505377,165.96848797070155,153.9785038002993,157.325731355673,161.14302539179593,10.924858816335359,18.01053357462456,29.900204742174168,19.64350400416808,0.0,34.12153656250448,5,2,2,1,3,1,2,8,6
1,1,51.28560645182475,57.3318426187841,165.29559901189134,135.1133604944258,134.43562244304186,141.06185007252168,-0.08183989267220682,41.76824188507254,23.85479631368395,20.495285111401756,3.302178169759671,15.284012651161321,5,2,2,1,2,1,2,8,6
2,2,22.173593722838632,44.21118261443336,17.3633194974685,41.72031394812733,133.89899661869185,137.25582384471898,9.047804841192715,13.812425589544489,28.985776730879337,20.879547414880562,6.3905954243419245,8.950111900396887,3,2,1,1,2,1,2,4,3
3,3,10.697633570863905,34.78906964225781,8.99917798815888,22.134220628373797,126.52243114576743,130.43172286244223,7.497253766049283,9.82215544295667,30.575886853345622,19.543439737984812,-3.1700786495610345,7.858237800262504,2,2,1,2,2,2,4,2,4
4,4,7.705867688364257,38.23660978958127,7.7107623109168895,24.496825924481954,110.64411484892106,126.12233183650545,4.201079677171236,3.195809718647297,30.63769107795926,21.29420069306221,-5.2479447888329815,5.529106707017479,2,2,1,2,2,2,4,2,4
5,5,9.063087493049116,29.543135212045588,10.100615016841601,20.413291092638538,107.3221471700083,126.97147353831625,-0.5472407410796052,-1.0425250836475755,36.54770374658068,19.636607086639685,-9.327645709851353,10.537432693940156,2,2,1,2,2,2,4,2,4
6,6,10.46722509257601,27.623925678868204,15.831950744834122,24.803590538368724,105.64104103893231,133.4771839272508,1.4291063508125603,1.9012082560951455,40.88164247400448,18.446302646393605,-10.70651452795947,13.372448910973603,2,2,1,2,2,2,4,2,4
7,7,11.421486790367064,28.261628481473863,16.109613955700663,15.37093663694419,102.7643250621573,130.67672237298117,-1.4838103335042092,5.494077626273224,56.0376847398598,20.246809039465802,-12.144731433964338,13.028993307364384,2,2,1,2,2,2,4,2,4
8,8,14.487582638501392,30.18720214057505,14.924030611046133,15.918695672316517,110.61497554994423,130.76621422814205,5.804346798661811,-4.124619492232625,65.8963254615717,22.276809978532555,-11.626902155332886,13.077886355909445,2,2,1,2,2,3,5,2,4
9,9,13.316387287785066,34.212028642079126,17.047805111221788,17.43369747839916,108.97013050838466,126.29174999952389,6.310121942506896,-2.888878646393522,62.06948572107554,36.924422872612496,-8.031118883956438,10.866131205510356,2,2,1,2,2,3,5,2,4
10,10,12.186699027193857,32.94170383440445,21.166611428821625,9.551756076000277,110.52188437549509,122.51228557235696,11.842952476275059,7.212498116938775,61.372379391676446,29.34953691863916,-6.92829278840712,9.729804563502562,2,2,1,2,2,3,5,2,4
11,11,10.313511699030334,36.11743569319731,22.07525167588822,11.100466108407732,111.99074362970482,123.13832055986303,14.353937292818898,8.057382587083595,63.10919869094984,28.467961113687892,-6.2338461320131415,9.72386300466657,2,2,1,2,2,3,5,2,4
